"","n.samples","effect.size","mean.power","mean.deviation"
"1",8,0.1,0.02,-0.0178522587280137
"2",8,0.2,0.04,0.0264544159058283
"3",8,0.3,0.07,0.104975600759161
"4",8,0.4,0.02,0.221878801162737
"5",8,0.5,0.01,0.223139818586092
"6",8,0.6,0.04,0.0920253991487046
"7",8,0.7,0.07,0.203539913490415
"8",8,0.8,0.05,0.231797009476651
"9",8,0.9,0.06,0.21169553467906
"10",8,1,0.06,0.279513128601624
"11",16,0.1,0.02,0.0656280998496114
"12",16,0.2,0.04,-0.10361569768152
"13",16,0.3,0.07,0.142922142320559
"14",16,0.4,0.04,0.183899049301264
"15",16,0.5,0.05,0.111972051849939
"16",16,0.6,0.04,0.0832003112328562
"17",16,0.7,0.03,0.130384300449602
"18",16,0.8,0.11,0.192441813375267
"19",16,0.9,0.14,0.083291146524413
"20",16,1,0.06,0.118128406790026
"21",24,0.1,0.03,0.124844264915324
"22",24,0.2,0.05,-0.029878424503243
"23",24,0.3,0.05,0.0644901805079635
"24",24,0.4,0.07,-0.00656384396159701
"25",24,0.5,0.03,0.161302058807147
"26",24,0.6,0.11,0.00861672345606652
"27",24,0.7,0.15,0.0754235097565269
"28",24,0.8,0.1,0.0808880400532807
"29",24,0.9,0.16,0.158534875782971
"30",24,1,0.14,0.202125701272095
"31",32,0.1,0.02,-0.0197027411120737
"32",32,0.2,0.01,0.0542890159151554
"33",32,0.3,0.07,-0.0332000485439571
"34",32,0.4,0.06,-0.0144409663022643
"35",32,0.5,0.1,0.0703784950788386
"36",32,0.6,0.15,0.0209737450097399
"37",32,0.7,0.08,0.176537625384735
"38",32,0.8,0.23,0.100449976636695
"39",32,0.9,0.22,0.167865240471177
"40",32,1,0.26,0.131885495470253
"41",40,0.1,0.05,-0.0441158860826689
"42",40,0.2,0.06,0.0142243524407729
"43",40,0.3,0.07,-0.00176347692909853
"44",40,0.4,0.1,0.0482251676602583
"45",40,0.5,0.1,0.068292101228
"46",40,0.6,0.09,0.120100098279836
"47",40,0.7,0.14,0.0824376420588723
"48",40,0.8,0.24,0.123158752197937
"49",40,0.9,0.33,0.121463175780078
"50",40,1,0.38,0.0870156284071845
"51",48,0.1,0.05,-0.0279797573993018
"52",48,0.2,0.05,0.0554992546333375
"53",48,0.3,0.09,0.0128699983778825
"54",48,0.4,0.13,0.0160940799530211
"55",48,0.5,0.13,0.0184795986626469
"56",48,0.6,0.15,0.0311059809965491
"57",48,0.7,0.28,-0.0219965474532263
"58",48,0.8,0.26,0.107659570357037
"59",48,0.9,0.41,0.0217375048293222
"60",48,1,0.5,0.0344107438344911
"61",56,0.1,0.02,-0.00942316272967432
"62",56,0.2,0.04,-0.00460352016284705
"63",56,0.3,0.05,0.040765900704106
"64",56,0.4,0.11,-0.0161855404588844
"65",56,0.5,0.1,0.0428955545843635
"66",56,0.6,0.15,0.128937089285437
"67",56,0.7,0.31,0.0634171210088008
"68",56,0.8,0.39,0.0169528056595712
"69",56,0.9,0.41,0.0748968226466847
"70",56,1,0.49,0.13534321644803
"71",64,0.1,0.01,0.0481105535759289
"72",64,0.2,0.06,-0.0265136849477976
"73",64,0.3,0.06,-0.000502331761821324
"74",64,0.4,0.15,0.0220573456163118
"75",64,0.5,0.17,0.037194247431042
"76",64,0.6,0.22,0.0541260875559907
"77",64,0.7,0.26,0.145001598763467
"78",64,0.8,0.41,0.114534195843706
"79",64,0.9,0.6,0.00165193756088497
"80",64,1,0.58,0.0553564552365123
"81",72,0.1,0.06,-0.057852624655418
"82",72,0.2,0.06,-0.00827098345727537
"83",72,0.3,0.09,0.0681823784298649
"84",72,0.4,0.07,0.0776236967052032
"85",72,0.5,0.22,-0.00707876691133634
"86",72,0.6,0.3,0.0193232989528836
"87",72,0.7,0.39,0.0313465796829207
"88",72,0.8,0.39,0.102946711349041
"89",72,0.9,0.69,0.0624316908038197
"90",72,1,0.73,0.0387892574524504
"91",80,0.1,0.01,0.0744633731006006
"92",80,0.2,0.03,0.0241749118540898
"93",80,0.3,0.05,0.0623602300503524
"94",80,0.4,0.17,-0.0163486885218334
"95",80,0.5,0.27,-0.00658419692471994
"96",80,0.6,0.35,0.00154857253214316
"97",80,0.7,0.35,0.0809325447858776
"98",80,0.8,0.58,0.0274786266915631
"99",80,0.9,0.66,0.0381511859962446
"100",80,1,0.78,0.0322002927939722
"101",88,0.1,0.03,0.0692068248515282
"102",88,0.2,0.06,0.0844727607797647
"103",88,0.3,0.14,-0.00329541289412851
"104",88,0.4,0.14,-6.69057870221773e-05
"105",88,0.5,0.22,0.0324766492410063
"106",88,0.6,0.3,0.0301813020413722
"107",88,0.7,0.47,0.036897691821472
"108",88,0.8,0.63,0.0048327142202187
"109",88,0.9,0.7,0.058953510009052
"110",88,1,0.78,0.0477498928404699
"111",96,0.1,0.03,0.0255790430892558
"112",96,0.2,0.04,0.0492541962648282
"113",96,0.3,0.06,0.06212375968966
"114",96,0.4,0.19,-0.0309031792730671
"115",96,0.5,0.26,0.00645773093546065
"116",96,0.6,0.35,0.0443541182797136
"117",96,0.7,0.47,0.0310482009147983
"118",96,0.8,0.71,-0.0130846401372768
"119",96,0.9,0.72,0.034661354471619
"120",96,1,0.87,0.0375578336298457
"121",104,0.1,0.04,-0.0303304056749699
"122",104,0.2,0.09,0.00386431251418371
"123",104,0.3,0.11,-0.00162345494104337
"124",104,0.4,0.27,-0.0266034718026804
"125",104,0.5,0.31,0.00764190266005469
"126",104,0.6,0.37,0.0644808764575797
"127",104,0.7,0.61,-0.0200421965096681
"128",104,0.8,0.68,0.00564728669712579
"129",104,0.9,0.76,0.0302274450348645
"130",104,1,0.87,0.0361755313041505
"131",112,0.1,0.03,-0.0128839009832742
"132",112,0.2,0.05,0.00932465203100243
"133",112,0.3,0.13,0.00262714671043012
"134",112,0.4,0.16,0.0412466337424093
"135",112,0.5,0.36,-0.0291307698245931
"136",112,0.6,0.47,0.0176522043343705
"137",112,0.7,0.58,0.0109445940387564
"138",112,0.8,0.74,0.00181951041742199
"139",112,0.9,0.89,0.0267399705009798
"140",112,1,0.9,0.00940388591848613
"141",120,0.1,0.02,0.0258048319925209
"142",120,0.2,0.05,0.0399563978027396
"143",120,0.3,0.22,-0.0315507103818637
"144",120,0.4,0.15,0.0532323346046428
"145",120,0.5,0.35,0.0126354949957255
"146",120,0.6,0.53,-0.00249450407272718
"147",120,0.7,0.58,0.0523940250385214
"148",120,0.8,0.7,0.0209155705237764
"149",120,0.9,0.86,0.0635072755970039
"150",120,1,0.95,-0.00213349244882004
"151",128,0.1,0.03,-0.0232270754678466
"152",128,0.2,0.08,-0.0107714090313504
"153",128,0.3,0.13,0.0215972674278209
"154",128,0.4,0.3,-0.0136053008694549
"155",128,0.5,0.44,-0.0308368926501256
"156",128,0.6,0.54,0.00799871502427803
"157",128,0.7,0.65,0.0338665453104274
"158",128,0.8,0.83,0.0232919919903419
"159",128,0.9,0.92,-0.010709179802938
"160",128,1,0.9,0.0278875075513069
"161",136,0.1,0.03,0.007393243450531
"162",136,0.2,0.1,0.0179927286915342
"163",136,0.3,0.16,-0.0270488030193146
"164",136,0.4,0.27,0.0364063337233816
"165",136,0.5,0.42,0.025550131049498
"166",136,0.6,0.56,0.0139052019327276
"167",136,0.7,0.66,0.067923928718099
"168",136,0.8,0.85,-0.00138094169809791
